Week,Timestep,U1,U2,U3,U4,MU,RBM,RSDU,Total extended time,Rescheduling
2,41,0.8125,0.8125,0.8541666666666666,0.6458333333333334,0.78125,1.0933333333333333,0.11825897507244504,8,True
3,6,0.6491228070175439,0.9649122807017544,0.8771929824561403,0.6666666666666666,0.7894736842105263,1.222222222222222,0.19793169208722053,12,True
4,8,0.6379310344827587,0.8103448275862069,0.8620689655172413,0.6896551724137931,0.75,1.1494252873563218,0.13856813272049898,0,False
6,41,0.78,0.62,0.8,0.68,0.7200000000000001,1.111111111111111,0.11785113019775793,0,False
7,7,0.8636363636363636,0.6515151515151515,0.8939393939393939,0.7575757575757576,0.7916666666666667,1.1291866028708133,0.1392226656637652,7,False
10,10,0.5740740740740741,0.8703703703703703,0.8703703703703703,0.8333333333333334,0.7870370370370371,1.1058823529411763,0.18175106237265046,6,True
14,50,0.8867924528301887,0.6226415094339622,0.8490566037735849,0.6792452830188679,0.7594339622641509,1.1677018633540373,0.1689623665681422,4,True
18,64,0.7313432835820896,0.8507462686567164,0.8805970149253731,0.7313432835820896,0.7985074626865672,1.102803738317757,0.09831609867949842,0,False
19,16,0.6,0.8545454545454545,0.8545454545454545,0.7090909090909091,0.7545454545454545,1.1325301204819276,0.16402070567600108,0,False
22,48,0.9491525423728814,0.6610169491525424,0.8135593220338984,0.7457627118644068,0.7923728813559323,1.1978609625668448,0.15362895847711402,10,True
23,13,0.6063829787234043,0.9787234042553191,0.9042553191489362,0.6595744680851063,0.7872340425531915,1.2432432432432432,0.23118247604245656,6,True
24,31,0.5833333333333334,0.9642857142857143,0.9047619047619048,0.6666666666666666,0.7797619047619048,1.2366412213740459,0.23536551816482804,1,False
25,46,0.660377358490566,0.8113207547169812,0.8490566037735849,0.6981132075471698,0.7547169811320755,1.125,0.1190238071423809,1,False
26,65,0.9642857142857143,0.5595238095238095,0.8928571428571429,0.6071428571428571,0.7559523809523809,1.2755905511811023,0.2677165354330709,5,True
29,45,0.7454545454545455,0.7090909090909091,0.8545454545454545,0.6545454545454545,0.740909090909091,1.1533742331288341,0.11400703365862044,0,False
31,26,0.9473684210526315,0.6140350877192983,0.8771929824561403,0.7017543859649122,0.7850877192982456,1.206703910614525,0.19598245239363674,5,True
35,39,0.9365079365079365,0.5873015873015873,0.7777777777777778,0.746031746031746,0.7619047619047619,1.2291666666666667,0.18788540636762058,1,False
37,6,0.5869565217391305,0.8478260869565217,0.8913043478260869,0.6521739130434783,0.7445652173913044,1.1970802919708028,0.1985616132662108,2,True
39,20,0.7049180327868853,0.8688524590163934,0.8688524590163934,0.7377049180327869,0.7950819672131147,1.092783505154639,0.10845177895573535,0,False
40,49,0.890625,0.640625,0.875,0.71875,0.78125,1.14,0.1557776192739723,1,False
41,9,0.578125,0.96875,0.765625,0.765625,0.76953125,1.2588832487309645,0.2073155112351486,7,True
47,0,1.0128205128205128,0.6025641025641025,0.8974358974358975,0.7051282051282052,0.8044871794871795,1.2589641434262948,0.22997401895875397,6,True
48,42,0.5774647887323944,0.9436619718309859,0.7887323943661971,0.7746478873239436,0.7711267605633803,1.2237442922374429,0.1946584143530979,0,False
49,60,0.9193548387096774,0.532258064516129,0.7419354838709677,0.7419354838709677,0.7338709677419355,1.2527472527472527,0.2157132873895305,1,False
50,57,0.9078947368421053,0.5921052631578947,0.8947368421052632,0.7894736842105263,0.7960526315789473,1.1404958677685952,0.1833146529985028,7,False
53,28,0.6712328767123288,0.9726027397260274,0.8493150684931506,0.7123287671232876,0.8013698630136985,1.2136752136752138,0.17122483420303955,3,True
55,26,0.7413793103448276,0.7413793103448276,0.8620689655172413,0.6896551724137931,0.7586206896551725,1.1363636363636362,0.09642365197998368,0,False
64,27,0.9433962264150944,0.8490566037735849,0.8679245283018868,0.7169811320754716,0.8443396226415094,1.1173184357541899,0.11154546839383198,15,True
65,18,0.8970588235294118,0.9705882352941176,0.8970588235294118,0.7205882352941176,0.8713235294117647,1.1139240506329113,0.12199858476625285,27,True
69,21,0.855072463768116,0.7391304347826086,0.8840579710144928,0.7681159420289855,0.8115942028985507,1.0892857142857144,0.08501700510170065,0,False
70,22,0.9523809523809523,0.5873015873015873,0.8888888888888888,0.6349206349206349,0.7658730158730158,1.2435233160621761,0.23713745346231294,6,True
71,7,0.6029411764705882,0.9558823529411765,0.8970588235294118,0.7647058823529411,0.8051470588235294,1.187214611872146,0.19465841435309797,3,False
72,30,0.9384615384615385,0.6615384615384615,0.8615384615384616,0.7538461538461538,0.8038461538461539,1.1674641148325358,0.1510022376847799,2,False
75,20,0.6833333333333333,0.8833333333333333,0.8666666666666667,0.65,0.7708333333333334,1.1459459459459458,0.15728398445257796,1,False
77,21,0.8035714285714286,0.9642857142857143,0.8214285714285714,0.7321428571428571,0.8303571428571429,1.161290322580645,0.117133581637048,23,True
89,27,0.6904761904761905,0.6428571428571429,0.8095238095238095,0.6190476190476191,0.6904761904761906,1.1724137931034482,0.12272503737967021,0,False
90,0,0.725,0.525,1.025,0.625,0.725,1.4137931034482758,0.29796508958197054,9,True
91,16,0.8823529411764706,0.4411764705882353,0.7647058823529411,0.5294117647058824,0.6544117647058822,1.3483146067415732,0.31218975257190573,4,False
92,29,0.725,0.525,0.725,0.6,0.64375,1.1262135922330097,0.15330380947996128,0,False
96,13,0.8974358974358975,0.6923076923076923,0.7948717948717948,0.5897435897435898,0.7435897435897436,1.206896551724138,0.17806819982562835,8,False
98,38,0.725,0.625,0.8,0.6,0.6875000000000001,1.1636363636363636,0.13443074553223536,0,False
101,39,0.5,0.9347826086956522,0.8043478260869565,0.6521739130434783,0.7228260869565217,1.293233082706767,0.26031402852328395,0,False
104,26,0.9508196721311475,0.639344262295082,0.8524590163934426,0.7049180327868853,0.7868852459016393,1.2083333333333333,0.1792151097300547,5,True
105,63,0.7837837837837838,0.972972972972973,0.9054054054054054,0.6756756756756757,0.8344594594594594,1.1659919028340082,0.15777357890068003,12,True
107,23,0.9433962264150944,0.8490566037735849,0.7735849056603774,0.7169811320754716,0.8207547169811321,1.1494252873563218,0.11945177983233637,19,True
109,28,0.5849056603773585,0.8490566037735849,0.8490566037735849,0.6981132075471698,0.7452830188679246,1.1392405063291138,0.17232555153301385,1,False
112,51,0.9166666666666666,0.7833333333333333,0.8833333333333333,0.7333333333333333,0.8291666666666666,1.105527638190955,0.1029844298086392,8,True
114,34,0.5686274509803921,0.803921568627451,0.8431372549019608,0.6862745098039216,0.7254901960784315,1.162162162162162,0.17093392757666914,2,False
119,51,0.8305084745762712,0.5932203389830508,0.864406779661017,0.6610169491525424,0.7372881355932204,1.1724137931034482,0.1775728770307505,0,False
123,30,0.8653846153846154,0.9615384615384616,0.8653846153846154,0.7115384615384616,0.8509615384615385,1.1299435028248588,0.12152365954728193,19,True
124,44,0.8269230769230769,0.6346153846153846,0.8461538461538461,0.6923076923076923,0.75,1.1282051282051282,0.13728528550605992,0,False
129,21,0.9571428571428572,0.5857142857142857,0.8571428571428571,0.6714285714285714,0.7678571428571428,1.246511627906977,0.22085269957362944,4,True
132,24,0.8166666666666667,0.9666666666666667,0.8666666666666667,0.75,0.85,1.1372549019607843,0.10739657990297374,15,True
133,23,0.9625,0.5875,0.875,0.6125,0.7593749999999999,1.2674897119341566,0.24723344622015522,0,True
134,27,0.6081081081081081,0.972972972972973,0.8513513513513513,0.6891891891891891,0.7804054054054054,1.246753246753247,0.20940929216359871,6,True
136,61,0.9058823529411765,0.5764705882352941,0.9058823529411765,0.6352941176470588,0.7558823529411764,1.198443579766537,0.23133487439290842,3,False
138,67,0.9054054054054054,0.6351351351351351,0.9054054054054054,0.7972972972972973,0.8108108108108107,1.1166666666666667,0.15752718754175365,11,True
139,71,0.625,0.9659090909090909,0.9090909090909091,0.7272727272727273,0.8068181818181819,1.1971830985915493,0.1961744827772411,1,False
140,69,0.927710843373494,0.5903614457831325,0.7349397590361446,0.8072289156626506,0.7650602409638554,1.2125984251968505,0.18432598284597834,2,False
144,42,0.9298245614035088,0.6140350877192983,0.8596491228070176,0.7017543859649122,0.7763157894736842,1.1977401129943503,0.18578323849549563,1,False
145,54,0.6438356164383562,0.8904109589041096,0.863013698630137,0.7808219178082192,0.7945205479452054,1.120689655172414,0.13936040980439243,0,False
146,35,0.9634146341463414,0.5975609756097561,0.8048780487804879,0.7195121951219512,0.7713414634146343,1.2490118577075096,0.19930775333175949,4,True
147,49,0.620253164556962,0.9746835443037974,0.9113924050632911,0.7341772151898734,0.810126582278481,1.203125,0.20050392244708498,8,True
148,47,0.9583333333333334,0.5972222222222222,0.8194444444444444,0.7083333333333334,0.7708333333333334,1.2432432432432432,0.2003702981094568,3,True
149,8,0.7125,0.9125,0.9,0.7375,0.815625,1.1187739463601531,0.1290605884716197,1,False
152,3,0.6029411764705882,0.9264705882352942,0.8529411764705882,0.9705882352941176,0.8382352941176471,1.1578947368421053,0.1958846108122132,13,True
159,61,0.696,0.632,0.936,0.392,0.6639999999999999,1.4096385542168677,0.33677518543352025,0,False
160,19,0.7093023255813954,0.7790697674418605,0.9069767441860465,0.813953488372093,0.8023255813953488,1.1304347826086956,0.10247924365022423,18,False
163,41,0.5975609756097561,0.9634146341463414,0.9024390243902439,0.7439024390243902,0.8018292682926829,1.2015209125475286,0.20532319391634984,3,False
166,56,0.8020833333333334,0.7395833333333334,0.9166666666666666,0.7395833333333334,0.7994791666666667,1.1465798045602604,0.10443791232496018,8,False
169,81,0.9680851063829787,0.5425531914893617,0.925531914893617,0.5957446808510638,0.7579787234042553,1.2771929824561403,0.2899924467376198,4,True
171,35,0.6716417910447762,0.9552238805970149,0.8507462686567164,0.7611940298507462,0.8097014925373134,1.1797235023041475,0.15003521286727836,2,False
173,11,0.5949367088607594,0.9493670886075949,0.8987341772151899,0.7215189873417721,0.791139240506329,1.2000000000000002,0.2063524493029665,0,False
174,46,0.9342105263157895,0.9736842105263158,0.8552631578947368,0.7236842105263158,0.8717105263157895,1.1169811320754717,0.1265136197301148,31,True
175,53,0.8412698412698413,0.6825396825396826,0.8571428571428571,0.746031746031746,0.7817460317460317,1.0964467005076142,0.1053426897886523,0,False
180,56,0.9418604651162791,0.5930232558139535,0.9069767441860465,0.813953488372093,0.813953488372093,1.1571428571428573,0.19272482233188626,14,False
182,36,0.6323529411764706,0.9264705882352942,0.8823529411764706,0.7647058823529411,0.8014705882352942,1.1559633027522935,0.16445663192353213,0,False
183,10,0.44642857142857145,0.7321428571428571,0.8571428571428571,0.7142857142857143,0.6875,1.2467532467532467,0.2513806258174541,15,False
184,12,0.5952380952380952,0.7380952380952381,0.7857142857142857,0.7380952380952381,0.7142857142857143,1.0999999999999999,0.11547005383792515,4,True
190,46,0.56,0.96,0.86,0.54,0.73,1.3150684931506849,0.2903764948965231,6,True
192,17,0.9361702127659575,0.7872340425531915,0.851063829787234,0.6808510638297872,0.8138297872340425,1.150326797385621,0.13223521486268863,13,True
193,31,0.74,0.94,0.84,0.66,0.795,1.1823899371069182,0.15285304933801408,2,False
196,5,0.5961538461538461,0.7884615384615384,0.9230769230769231,0.7115384615384616,0.7548076923076923,1.2229299363057327,0.18179851064634947,12,True
198,26,0.9375,0.6458333333333334,0.8541666666666666,0.625,0.765625,1.2244897959183674,0.20164838163642362,14,True
201,23,0.5555555555555556,0.9555555555555556,0.8444444444444444,0.6222222222222222,0.7444444444444445,1.2835820895522387,0.2515268589007868,12,True
204,5,0.82,0.62,0.86,0.92,0.8049999999999999,1.142857142857143,0.1614906832298137,13,True
207,38,0.8541666666666666,0.5208333333333334,0.8333333333333334,0.625,0.7083333333333334,1.2058823529411764,0.22908473422642983,0,False
208,22,0.9375,0.6041666666666666,0.8125,0.6875,0.7604166666666666,1.2328767123287672,0.19178082191780824,10,True
209,34,0.6818181818181818,0.8939393939393939,0.8787878787878788,0.7575757575757576,0.803030303030303,1.1132075471698113,0.12610023682870078,1,False
211,13,0.5,0.7105263157894737,0.7894736842105263,0.5789473684210527,0.6447368421052632,1.2244897959183674,0.20134215764556113,2,False
214,48,0.6078431372549019,0.803921568627451,0.8431372549019608,0.6862745098039216,0.7352941176470589,1.1466666666666665,0.14686854792762943,0,False
216,18,0.6304347826086957,0.9565217391304348,0.8043478260869565,0.6739130434782609,0.7663043478260869,1.24822695035461,0.19153313570240277,7,True
218,14,0.6170212765957447,0.7446808510638298,0.8297872340425532,0.6595744680851063,0.7127659574468085,1.164179104477612,0.1323794497079609,0,False
220,49,0.8333333333333334,0.7592592592592593,0.8518518518518519,0.7037037037037037,0.7870370370370371,1.0823529411764705,0.08698460005026994,1,False
221,20,0.6226415094339622,0.9433962264150944,0.8490566037735849,0.6415094339622641,0.7641509433962264,1.234567901234568,0.2060902720254966,1,False
222,14,0.94,0.78,0.86,0.62,0.8,1.1749999999999998,0.1707825127659933,20,True
224,17,0.6727272727272727,0.7818181818181819,0.8545454545454545,0.6727272727272727,0.7454545454545455,1.146341463414634,0.11948730452600867,0,False
225,17,0.5555555555555556,0.7777777777777778,0.8222222222222222,0.6444444444444445,0.7000000000000001,1.1746031746031744,0.174843509437654,0,False
227,26,0.5555555555555556,0.7333333333333333,0.8222222222222222,0.5777777777777777,0.672222222222222,1.2231404958677687,0.18966296945519018,0,False
229,48,0.7090909090909091,0.8909090909090909,0.7818181818181819,0.6545454545454545,0.759090909090909,1.1736526946107784,0.1346085053899191,8,True
231,37,0.9318181818181818,0.6136363636363636,0.7954545454545454,0.6590909090909091,0.75,1.2424242424242424,0.1916531915253563,8,True
233,22,0.5921052631578947,0.9605263157894737,0.7631578947368421,0.7894736842105263,0.7763157894736843,1.2372881355932202,0.1942385699171874,1,False
235,12,0.9375,0.5625,0.8333333333333334,0.6875,0.7552083333333334,1.2413793103448276,0.2176515012146138,2,True
239,57,0.8870967741935484,0.7580645161290323,0.8870967741935484,0.6774193548387096,0.8024193548387096,1.105527638190955,0.12857514949678722,6,True
241,12,0.78,0.66,0.86,0.78,0.77,1.1168831168831168,0.1070936526134457,4,True
242,10,0.7857142857142857,0.5,0.8095238095238095,0.5952380952380952,0.6726190476190476,1.2035398230088497,0.22270898039146755,0,False
243,31,0.6410256410256411,0.9230769230769231,0.8205128205128205,0.5641025641025641,0.7371794871794872,1.2521739130434784,0.2224909108683535,9,True
244,16,0.9,0.825,0.8,0.6,0.7812500000000001,1.152,0.16395121225535356,13,False
245,4,0.8958333333333334,0.9375,0.8125,0.6666666666666666,0.828125,1.1320754716981132,0.14433471260426423,15,False
246,37,0.5789473684210527,0.8596491228070176,0.8596491228070176,0.7192982456140351,0.7543859649122807,1.1395348837209303,0.1781259735360629,0,False
247,25,0.9516129032258065,0.7903225806451613,0.8870967741935484,0.7419354838709677,0.842741935483871,1.1291866028708135,0.11200669771023568,12,True
252,26,0.54,0.86,0.84,0.68,0.73,1.178082191780822,0.20563160272507214,0,False
255,31,0.5686274509803921,0.8431372549019608,0.8235294117647058,0.6862745098039216,0.7303921568627452,1.1543624161073824,0.1758679553202107,0,False
257,22,0.9027777777777778,0.9722222222222222,0.9027777777777778,0.6944444444444444,0.8680555555555556,1.1199999999999999,0.13856406460551018,27,True
262,37,0.725,0.425,0.775,0.575,0.625,1.24,0.25298221281347033,4,True
266,36,0.7872340425531915,0.574468085106383,0.8297872340425532,0.6595744680851063,0.7127659574468085,1.164179104477612,0.1644050909637642,0,False
267,2,0.9807692307692307,0.6730769230769231,0.8653846153846154,0.7115384615384616,0.8076923076923077,1.2142857142857142,0.17604026200649864,8,True
268,49,0.8088235294117647,0.7205882352941176,0.8823529411764706,0.6617647058823529,0.7683823529411764,1.1483253588516746,0.12634961607871362,0,False
269,30,0.5849056603773585,0.9622641509433962,0.8679245283018868,0.6792452830188679,0.7735849056603774,1.2439024390243902,0.22265144614031143,1,True
270,30,0.6578947368421053,0.6578947368421053,0.7894736842105263,0.5789473684210527,0.6710526315789475,1.176470588235294,0.1300637172688392,0,False
273,8,0.5409836065573771,0.8360655737704918,0.8688524590163934,0.5737704918032787,0.7049180327868853,1.2325581395348837,0.2431687928892732,1,False
275,58,0.5921052631578947,0.9605263157894737,0.8947368421052632,0.7894736842105263,0.8092105263157894,1.1869918699186992,0.1989241116910848,6,False
277,9,0.6052631578947368,0.7105263157894737,0.7894736842105263,0.5789473684210527,0.6710526315789475,1.176470588235294,0.14497433341711655,0,False
278,12,0.5476190476190477,0.8333333333333334,0.8333333333333334,0.7380952380952381,0.7380952380952381,1.129032258064516,0.18247916933846386,8,True
280,6,0.9166666666666666,0.9375,0.8333333333333334,0.6666666666666666,0.8385416666666666,1.1180124223602486,0.14680826419242932,18,False
285,35,0.873015873015873,0.6190476190476191,0.873015873015873,0.6666666666666666,0.7579365079365079,1.1518324607329844,0.17718729698425206,0,False
288,44,0.8970588235294118,0.9117647058823529,0.75,0.7794117647058824,0.8345588235294117,1.092511013215859,0.09797842770991058,25,True
294,23,0.9302325581395349,0.7674418604651163,0.8372093023255814,0.5581395348837209,0.7732558139534884,1.2030075187969924,0.20453339110880367,17,True
296,0,0.7735849056603774,0.7358490566037735,0.7924528301886793,1.0188679245283019,0.8301886792452831,1.2272727272727273,0.15414386325284699,17,True
300,16,0.7735849056603774,0.660377358490566,0.8490566037735849,0.660377358490566,0.7358490566037736,1.1538461538461537,0.12561485860426558,1,False
302,34,0.8653846153846154,0.5576923076923077,0.8461538461538461,0.6923076923076923,0.7403846153846154,1.1688311688311688,0.19494944154454893,1,False
305,1,0.575,1.0,0.825,0.625,0.75625,1.322314049586777,0.25801365231885615,9,True
306,30,0.8918918918918919,0.5135135135135135,0.7837837837837838,0.5675675675675675,0.6891891891891891,1.2941176470588236,0.2591402300862616,4,False
307,28,0.6923076923076923,0.8974358974358975,0.7435897435897436,0.6153846153846154,0.7371794871794872,1.2173913043478262,0.1615925781422186,12,True
310,6,0.7857142857142857,0.5952380952380952,0.8809523809523809,0.6428571428571429,0.7261904761904762,1.2131147540983607,0.1805760835175771,2,True
